secteur,indicateur,valeur_modalite,n,total,pourcentage
Financement,Financement humanitaire reçu,Non,46,89,51.7
Financement,Financement humanitaire reçu,Oui,43,89,48.3
Coordination,Connaissance des mécanismes de coordination,Oui,73,89,82.0
Coordination,Connaissance des mécanismes de coordination,Non,16,89,18.0
Coordination,Participation aux mécanismes de coordination,Oui,62,89,69.7
Coordination,Participation aux mécanismes de coordination,Non,27,89,30.3
Coordination,Satisfaction vis-à-vis de la coordination,Satisfaisant,42,89,47.2
Coordination,Satisfaction vis-à-vis de la coordination,Moyennement satisfaisant,21,89,23.6
Coordination,Satisfaction vis-à-vis de la coordination,Peu satisfaisant,12,89,13.5
Coordination,Satisfaction vis-à-vis de la coordination,Très satisfaisant,7,89,7.9
Coordination,Satisfaction vis-à-vis de la coordination,Pas satisfaisant,7,89,7.9
Profil,Type d’organisation,Non renseigné,89,89,100.0
