dataset,type_organisation,financement_humanitaire,connaissance_coordination,participation_coordination,satisfaction_coordination,completude_pct
,,Oui,Oui,Oui,Très satisfaisant,75.5
,,Oui,Oui,Oui,Satisfaisant,74.2
,,Oui,Oui,Oui,Satisfaisant,73.8
,,Oui,Oui,Oui,Moyennement satisfaisant,73.5
,,Non,Oui,Oui,Moyennement satisfaisant,75.8
,,Oui,Oui,Oui,Moyennement satisfaisant,81.1
,,Oui,Oui,Oui,Très satisfaisant,77.2
,,Oui,Oui,Oui,Satisfaisant,77.2
,,Non,Oui,Oui,Moyennement satisfaisant,76.8
,,Oui,Oui,Oui,Satisfaisant,78.8
,,Non,Oui,Oui,Moyennement satisfaisant,85.1
,,Non,Oui,Oui,Peu satisfaisant,85.1
,,Oui,Non,Non,Peu satisfaisant,85.4
,,Oui,Oui,Oui,Satisfaisant,85.1
,,Non,Oui,Oui,Satisfaisant,85.8
,,Oui,Non,Oui,Moyennement satisfaisant,84.8
,,Non,Oui,Non,Satisfaisant,84.8
,,Non,Oui,Oui,Satisfaisant,84.8
,,Non,Oui,Oui,Moyennement satisfaisant,84.4
,,Oui,Oui,Oui,Satisfaisant,75.5
,,Oui,Oui,Oui,Satisfaisant,85.4
,,Non,Oui,Oui,Très satisfaisant,85.8
,,Non,Oui,Oui,Satisfaisant,84.4
,,Non,Non,Non,Peu satisfaisant,85.4
,,Non,Non,Oui,Satisfaisant,85.1
,,Non,Oui,Oui,Satisfaisant,85.4
,,Oui,Oui,Oui,Satisfaisant,85.1
,,Non,Oui,Oui,Satisfaisant,85.4
,,Oui,Oui,Oui,Très satisfaisant,85.8
,,Oui,Oui,Non,Pas satisfaisant,84.8
,,Oui,Oui,Oui,Satisfaisant,85.1
,,Non,Oui,Oui,Satisfaisant,84.8
,,Oui,Oui,Oui,Satisfaisant,85.1
,,Oui,Oui,Oui,Satisfaisant,85.1
,,Oui,Oui,Oui,Satisfaisant,85.1
,,Non,Oui,Oui,Moyennement satisfaisant,84.8
,,Non,Oui,Oui,Pas satisfaisant,85.8
,,Oui,Oui,Non,Moyennement satisfaisant,85.8
,,Oui,Oui,Non,Satisfaisant,85.1
,,Oui,Oui,Oui,Satisfaisant,86.4
,,Oui,Oui,Oui,Moyennement satisfaisant,85.8
,,Non,Oui,Oui,Moyennement satisfaisant,85.1
,,Oui,Non,Oui,Moyennement satisfaisant,85.1
,,Non,Non,Non,Peu satisfaisant,84.8
,,Non,Oui,Non,Peu satisfaisant,85.8
,,Oui,Oui,Oui,Satisfaisant,85.4
,,Non,Non,Non,Pas satisfaisant,84.8
,,Non,Oui,Oui,Satisfaisant,85.4
,,Non,Non,Non,Pas satisfaisant,84.8
,,Non,Oui,Non,Moyennement satisfaisant,85.1
,,Non,Non,Non,Pas satisfaisant,85.4
,,Oui,Non,Oui,Peu satisfaisant,85.1
,,Non,Oui,Non,Satisfaisant,85.4
,,Non,Non,Non,Peu satisfaisant,85.4
,,Oui,Oui,Oui,Satisfaisant,72.8
,,Non,Oui,Oui,Moyennement satisfaisant,85.1
,,Non,Non,Non,Pas satisfaisant,85.4
,,Non,Oui,Non,Moyennement satisfaisant,85.1
,,Oui,Oui,Oui,Satisfaisant,85.1
,,Non,Oui,Non,Peu satisfaisant,84.8
,,Oui,Non,Non,Peu satisfaisant,85.1
,,Oui,Oui,Oui,Moyennement satisfaisant,85.1
,,Non,Non,Non,Peu satisfaisant,84.8
,,Non,Non,Non,Peu satisfaisant,85.1
,,Non,Non,Non,Peu satisfaisant,84.8
,,Oui,Oui,Non,Moyennement satisfaisant,85.1
,,Non,Oui,Non,Satisfaisant,85.4
,,Non,Oui,Oui,Satisfaisant,84.8
,,Non,Oui,Non,Très satisfaisant,85.1
,,Oui,Oui,Non,Satisfaisant,85.8
,,Non,Oui,Non,Satisfaisant,84.8
,,Oui,Oui,Oui,Moyennement satisfaisant,85.1
,,Oui,Oui,Oui,Satisfaisant,85.4
,,Non,Oui,Oui,Moyennement satisfaisant,86.1
,,Oui,Oui,Oui,Moyennement satisfaisant,72.8
,,Non,Oui,Oui,Satisfaisant,85.8
,,Non,Oui,Oui,Satisfaisant,84.8
,,Oui,Oui,Oui,Très satisfaisant,85.8
,,Oui,Oui,Oui,Très satisfaisant,85.4
,,Non,Oui,Non,Pas satisfaisant,85.4
,,Non,Oui,Oui,Satisfaisant,85.8
,,Non,Oui,Oui,Satisfaisant,83.8
,,Oui,Oui,Oui,Satisfaisant,85.1
,,Non,Oui,Oui,Satisfaisant,84.8
,,Oui,Oui,Oui,Satisfaisant,86.1
,,Non,Oui,Oui,Satisfaisant,85.1
,,Oui,Oui,Oui,Moyennement satisfaisant,85.1
,,Oui,Oui,Oui,Satisfaisant,85.1
,,Oui,Oui,Oui,Satisfaisant,85.1
